date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:45:55	54789/54789	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22d605-584cf8b04d640%22	https://preview.colorlib.com/theme/digilab/fonts/open-iconic/open-iconic.svg	C:/Users/Adm/Desktop/ArcherCapital/Sauvegarde/ACI/preview.colorlib.com/theme/digilab/fonts/open-iconic/open-iconic.svg	(from https://preview.colorlib.com/theme/digilab/css/open-iconic-bootstrap.min.css)
15:46:00	283/283	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2022%20Dec%202020%2014:45:53%20GMT	https://preview.colorlib.com/theme/digilab/css/owl.video.play.png	C:/Users/Adm/Desktop/ArcherCapital/Sauvegarde/ACI/preview.colorlib.com/theme/digilab/css/owl.video.play.png	(from https://preview.colorlib.com/theme/digilab/css/owl.carousel.min.css)
15:46:01	112826/112826	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%221b8ba-584cf94cb4740%22	https://preview.colorlib.com/theme/digilab/fonts/ionicons/fonts/ionicons.eot?v=4.0.0-19	C:/Users/Adm/Desktop/ArcherCapital/Sauvegarde/ACI/preview.colorlib.com/theme/digilab/fonts/ionicons/fonts/ionicons580c.eot	(from https://preview.colorlib.com/theme/digilab/css/ionicons.min.css)
15:46:01	50592/50592	---M--	200	added ('OK')	font/woff2	etag:%22c5a0-584cf961af8c0%22	https://preview.colorlib.com/theme/digilab/fonts/ionicons/fonts/ionicons.woff2?v=4.0.0-19	C:/Users/Adm/Desktop/ArcherCapital/Sauvegarde/ACI/preview.colorlib.com/theme/digilab/fonts/ionicons/fonts/ionicons580c.woff2	(from https://preview.colorlib.com/theme/digilab/css/ionicons.min.css)
15:46:02	66024/66024	---M--	200	added ('OK')	font/woff	etag:%22101e8-584cf95ddefc0%22	https://preview.colorlib.com/theme/digilab/fonts/ionicons/fonts/ionicons.woff?v=4.0.0-19	C:/Users/Adm/Desktop/ArcherCapital/Sauvegarde/ACI/preview.colorlib.com/theme/digilab/fonts/ionicons/fonts/ionicons580c.woff	(from https://preview.colorlib.com/theme/digilab/css/ionicons.min.css)
15:46:03	112648/112648	---MCZ	200	added ('OK')	font/ttf	etag:W/%221b808-584cf95826240%22	https://preview.colorlib.com/theme/digilab/fonts/ionicons/fonts/ionicons.ttf?v=4.0.0-19	C:/Users/Adm/Desktop/ArcherCapital/Sauvegarde/ACI/preview.colorlib.com/theme/digilab/fonts/ionicons/fonts/ionicons580c.ttf	(from https://preview.colorlib.com/theme/digilab/css/ionicons.min.css)
15:46:04	6590/6590	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%2219be-584cf9015d580%22	https://preview.colorlib.com/theme/digilab/fonts/flaticon/font/Flaticon.eot	C:/Users/Adm/Desktop/ArcherCapital/Sauvegarde/ACI/preview.colorlib.com/theme/digilab/fonts/flaticon/font/Flaticon.eot	(from https://preview.colorlib.com/theme/digilab/css/flaticon.css)
15:46:04	313199/313199	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%224c76f-584cf95fc7440%22	https://preview.colorlib.com/theme/digilab/fonts/ionicons/fonts/ionicons.svg?v=4.0.0-19	C:/Users/Adm/Desktop/ArcherCapital/Sauvegarde/ACI/preview.colorlib.com/theme/digilab/fonts/ionicons/fonts/ionicons580c.svg	(from https://preview.colorlib.com/theme/digilab/css/ionicons.min.css)
15:46:05	6590/6590	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%2219be-584cf9015d580%22	https://preview.colorlib.com/theme/digilab/fonts/flaticon/font/Flaticon.eot?	C:/Users/Adm/Desktop/ArcherCapital/Sauvegarde/ACI/preview.colorlib.com/theme/digilab/fonts/flaticon/font/Flaticond41d.eot	(from https://preview.colorlib.com/theme/digilab/css/flaticon.css)
15:46:06	4324/4324	---M--	200	added ('OK')	font/woff	etag:%2210e4-584cf90ccf080%22	https://preview.colorlib.com/theme/digilab/fonts/flaticon/font/Flaticon.woff	C:/Users/Adm/Desktop/ArcherCapital/Sauvegarde/ACI/preview.colorlib.com/theme/digilab/fonts/flaticon/font/Flaticon.woff	(from https://preview.colorlib.com/theme/digilab/css/flaticon.css)
15:46:06	6412/6412	---MCZ	200	added ('OK')	font/ttf	etag:W/%22190c-584cf90ae6c00%22	https://preview.colorlib.com/theme/digilab/fonts/flaticon/font/Flaticon.ttf	C:/Users/Adm/Desktop/ArcherCapital/Sauvegarde/ACI/preview.colorlib.com/theme/digilab/fonts/flaticon/font/Flaticon.ttf	(from https://preview.colorlib.com/theme/digilab/css/flaticon.css)
15:46:07	37477/37477	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%229265-584cf906220c0%22	https://preview.colorlib.com/theme/digilab/fonts/flaticon/font/Flaticon.svg	C:/Users/Adm/Desktop/ArcherCapital/Sauvegarde/ACI/preview.colorlib.com/theme/digilab/fonts/flaticon/font/Flaticon.svg	(from https://preview.colorlib.com/theme/digilab/css/flaticon.css)
15:46:10	307168/307168	---MCZ	200	added ('OK')	font/ttf	etag:W/%224afe0-584cf88657340%22	https://preview.colorlib.com/theme/digilab/fonts/icomoon/icomoon.ttf?6tt51o	C:/Users/Adm/Desktop/ArcherCapital/Sauvegarde/ACI/preview.colorlib.com/theme/digilab/fonts/icomoon/icomoonccfb.ttf	(from https://preview.colorlib.com/theme/digilab/css/icomoon.css)
15:46:10	307332/307332	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%224b084-584cf86c97680%22	https://preview.colorlib.com/theme/digilab/fonts/icomoon/icomoon.eot?6tt51o	C:/Users/Adm/Desktop/ArcherCapital/Sauvegarde/ACI/preview.colorlib.com/theme/digilab/fonts/icomoon/icomoonccfb.eot	(from https://preview.colorlib.com/theme/digilab/css/icomoon.css)
15:46:12	307244/307244	---M--	200	added ('OK')	font/woff	etag:%224b02c-584cf89875e00%22	https://preview.colorlib.com/theme/digilab/fonts/icomoon/icomoon.woff?6tt51o	C:/Users/Adm/Desktop/ArcherCapital/Sauvegarde/ACI/preview.colorlib.com/theme/digilab/fonts/icomoon/icomoonccfb.woff	(from https://preview.colorlib.com/theme/digilab/css/icomoon.css)
15:46:14	935341/935341	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22e45ad-584cf89875e00%22	https://preview.colorlib.com/theme/digilab/fonts/icomoon/icomoon.svg?6tt51o	C:/Users/Adm/Desktop/ArcherCapital/Sauvegarde/ACI/preview.colorlib.com/theme/digilab/fonts/icomoon/icomoonccfb.svg	(from https://preview.colorlib.com/theme/digilab/css/icomoon.css)
15:46:15	114440/114440	---M--	200	added ('OK')	image/jpeg	etag:%221d555-584cf759eee80%22	https://preview.colorlib.com/theme/digilab/images/bg_4.jpg	C:/Users/Adm/Desktop/ArcherCapital/Sauvegarde/ACI/preview.colorlib.com/theme/digilab/images/bg_4.jpg	(from https://preview.colorlib.com/theme/digilab/single.html)
15:46:15	283/283	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2022%20Dec%202020%2014:46:07%20GMT	https://preview.colorlib.com/theme/digilab/blog.html	C:/Users/Adm/Desktop/ArcherCapital/Sauvegarde/ACI/preview.colorlib.com/theme/digilab/blog.46.delayed	(from https://preview.colorlib.com/theme/digilab/single.html)
15:46:19	127606/127606	---M--	200	added ('OK')	image/jpeg	etag:%222013f-584cf76654bc0%22	https://preview.colorlib.com/theme/digilab/images/image_4.jpg	C:/Users/Adm/Desktop/ArcherCapital/Sauvegarde/ACI/preview.colorlib.com/theme/digilab/images/image_4.jpg	(from https://preview.colorlib.com/theme/digilab/single.html)
